attendance,away_final_score,away_team,date,elapsed_time,g_id,home_final_score,home_team,start_time,umpire_HP,venue_name,weather,wind,delay_min
17611,4,min,8/16/2016,208,201601773,2,atl,7:10 PM,Ramon De Jesus,Turner Field,"83 degrees, overcast","5 mph, R to L",0
20790,7,nyn,8/16/2016,204,201601774,5,ari,6:40 PM,Marvin Hudson,Chase Field,"80 degrees, roof closed","0 mph, None",0
21877,4,oak,8/16/2016,220,201601775,5,tex,7:06 PM,Joe West,Globe Life Park in Arlington,"79 degrees, overcast","10 mph, L to R",0
41185,4,pit,8/16/2016,192,201601776,3,sfn,7:16 PM,Marty Foster,AT&T Park,"62 degrees, clear","14 mph, L to R",0
10793,1,sdn,8/16/2016,198,201601777,15,tba,7:10 PM,Jim Reynolds,Tropicana Field,"72 degrees, dome","0 mph, None",0
37546,6,sea,8/16/2016,183,201601778,7,ana,7:07 PM,Brian O'Nora,Angel Stadium of Anaheim,"84 degrees, clear","7 mph, Out to CF",0
30438,8,sln,8/16/2016,186,201601779,5,hou,7:11 PM,Tony Randazzo,Minute Maid Park,"73 degrees, roof closed","0 mph, None",0
31874,12,tor,8/16/2016,189,201601780,6,nya,7:08 PM,Jerry Layne,Yankee Stadium,"83 degrees, partly cloudy","8 mph, R to L",42
29209,2,was,8/16/2016,174,201601781,6,col,6:40 PM,Mark Carlson,Coors Field,"84 degrees, cloudy","7 mph, Out to RF",125
26160,8,bos,8/17/2016,132,201601782,1,bal,7:08 PM,Adam Hamari,Oriole Park at Camden Yards,"89 degrees, cloudy","3 mph, Out to RF",77
14371,10,cha,8/17/2016,210,201601783,7,cle,7:10 PM,Jim Wolf,Progressive Field,"81 degrees, partly cloudy","6 mph, In from LF",0
28790,4,kca,8/17/2016,167,201601784,1,det,7:10 PM,Lance Barrett,Comerica Park,"75 degrees, overcast","1 mph, In from CF",0
21137,7,lan,8/17/2016,203,201601785,2,phi,7:06 PM,Chris Conroy,Citizens Bank Park,"88 degrees, partly cloudy","7 mph, L to R",0
13973,2,mia,8/17/2016,187,201601786,3,cin,7:10 PM,Larry Vanover,Great American Ball Park,"80 degrees, overcast","6 mph, R to L",0
40310,1,mil,8/17/2016,170,201601787,6,chn,7:06 PM,Gerry Davis,Wrigley Field,"81 degrees, partly cloudy","3 mph, Out to RF",0
19304,10,min,8/17/2016,204,201601788,3,atl,7:10 PM,Dana DeMuth,Turner Field,"89 degrees, partly cloudy","7 mph, L to R",0
18469,5,nyn,8/17/2016,173,201601789,13,ari,6:40 PM,Chad Fairchild,Chase Field,"79 degrees, roof closed","0 mph, None",0
26743,2,oak,8/17/2016,174,201601790,6,tex,7:11 PM,Kerwin Danley,Globe Life Park in Arlington,"79 degrees, overcast","10 mph, L to R",0
41139,6,pit,8/17/2016,201,201601791,5,sfn,12:45 PM,Doug Eddings,AT&T Park,"65 degrees, partly cloudy","9 mph, Out to CF",0
