attendance,away_final_score,away_team,date,elapsed_time,g_id,home_final_score,home_team,start_time,umpire_HP,venue_name,weather,wind,delay_min
35055,3,sln,4/5/2015,184,201500001,0,chn,7:17 PM,Mike Winters,Wrigley Field,"44 degrees, clear","7 mph, In from CF",0
45909,1,ana,4/6/2015,153,201500002,4,sea,1:12 PM,Larry Vanover,Safeco Field,"54 degrees, cloudy","1 mph, Varies",0
36969,2,atl,4/6/2015,156,201500003,1,mia,4:22 PM,Jeff Nelson,Marlins Park,"80 degrees, partly cloudy","16 mph, In from CF",16
31042,6,bal,4/6/2015,181,201500004,2,tba,3:12 PM,Dana DeMuth,Tropicana Field,"72 degrees, dome","0 mph, None",0
45549,8,bos,4/6/2015,181,201500005,0,phi,3:08 PM,Gerry Davis,Citizens Bank Park,"71 degrees, partly cloudy","11 mph, Out to RF",0
40085,1,cha,4/6/2015,170,201500006,10,kca,3:14 PM,Jerry Layne,Kauffman Stadium,"59 degrees, drizzle","6 mph, R to L",0
43753,0,cle,4/6/2015,150,201500007,2,hou,6:10 PM,Ted Barrett,Minute Maid Park,"79 degrees, partly cloudy","14 mph, Out to LF",0
46032,10,col,4/6/2015,180,201500008,0,mil,1:20 PM,Dale Scott,Miller Park,"70 degrees, roof closed","0 mph, None",0
45030,0,min,4/6/2015,150,201500009,4,det,1:08 PM,Joe West,Comerica Park,"52 degrees, partly cloudy","5 mph, R to L",0
42295,3,nyn,4/6/2015,155,201500010,1,was,4:09 PM,Tim Welke,Nationals Park,"76 degrees, sunny","14 mph, Out to CF",0
43633,2,pit,4/6/2015,150,201500011,5,cin,4:10 PM,John Hirschbeck,Great American Ball Park,"68 degrees, overcast","15 mph, Out to LF",35
53518,3,sdn,4/6/2015,184,201500012,6,lan,1:12 PM,Brian Gorman,Dodger Stadium,"65 degrees, partly cloudy","1 mph, Varies",0
49043,5,sfn,4/6/2015,198,201500013,4,ari,7:13 PM,Gary Cederstrom,Chase Field,"81 degrees, clear","7 mph, L to R",0
36067,0,tex,4/6/2015,165,201500014,8,oak,7:09 PM,Bill Miller,O.co Coliseum,"56 degrees, cloudy","17 mph, Out to RF",0
48469,6,tor,4/6/2015,179,201500015,1,nya,1:13 PM,Fieldin Culbreth,Yankee Stadium,"54 degrees, partly cloudy","5 mph, R to L",0
26545,2,ana,4/7/2015,133,201500016,0,sea,7:10 PM,Ron Kulpa,Safeco Field,"56 degrees, partly cloudy","3 mph, Out to RF",0
17483,12,atl,4/7/2015,194,201500017,2,mia,7:11 PM,Laz Diaz,Marlins Park,"75 degrees, roof closed","0 mph, None",0
13906,6,bal,4/7/2015,202,201500018,5,tba,7:10 PM,Ed Hickox,Tropicana Field,"72 degrees, dome","0 mph, None",0
30222,5,col,4/7/2015,168,201500019,2,mil,7:10 PM,Dan Iassogna,Miller Park,"64 degrees, roof closed","0 mph, None",0
40356,7,sdn,4/7/2015,211,201500020,3,lan,7:40 PM,Mark Carlson,Dodger Stadium,"57 degrees, rain","1 mph, Varies",30
22626,6,sfn,4/7/2015,190,201500021,7,ari,6:40 PM,Eric Cooper,Chase Field,"79 degrees, partly cloudy","13 mph, Out to RF",0
15025,3,tex,4/7/2015,150,201500022,1,oak,7:08 PM,Doug Eddings,O.co Coliseum,"54 degrees, partly cloudy","16 mph, Out to RF",0
25495,5,ana,4/8/2015,168,201500023,3,sea,7:10 PM,Brian Knight,Safeco Field,"60 degrees, partly cloudy","1 mph, In from LF",0
16127,2,atl,4/8/2015,165,201500024,0,mia,7:11 PM,Chris Guccione,Marlins Park,"73 degrees, roof closed","0 mph, None",0
13569,0,bal,4/8/2015,180,201500025,2,tba,7:10 PM,Paul Nauert,Tropicana Field,"72 degrees, dome","0 mph, None",0
26465,2,bos,4/8/2015,174,201500026,4,phi,7:08 PM,Phil Cuzzi,Citizens Bank Park,"40 degrees, cloudy","11 mph, R to L",0
23385,5,cha,4/8/2015,191,201500027,7,kca,7:10 PM,Hunter Wendelstedt,Kauffman Stadium,"74 degrees, cloudy","14 mph, R to L",0
23078,2,cle,4/8/2015,160,201500028,0,hou,7:10 PM,Angel Hernandez,Minute Maid Park,"79 degrees, cloudy","11 mph, Out to LF",0
28720,5,col,4/8/2015,195,201500029,4,mil,7:10 PM,CB Bucknor,Miller Park,"64 degrees, roof closed","0 mph, None",0
28280,0,min,4/8/2015,186,201500030,11,det,1:08 PM,Kerwin Danley,Comerica Park,"39 degrees, cloudy","7 mph, In from LF",0
25999,1,nyn,4/8/2015,141,201500031,2,was,8:01 PM,Mike Everitt,Nationals Park,"46 degrees, cloudy","6 mph, Out to CF",56
30859,4,pit,4/8/2015,241,201500032,5,cin,9:44 PM,Sam Holbrook,Great American Ball Park,"64 degrees, cloudy","2 mph, L to R",154
52204,4,sdn,4/8/2015,196,201500033,7,lan,7:09 PM,Mike DiMuro,Dodger Stadium,"65 degrees, clear","10 mph, L to R",0
21642,5,sfn,4/8/2015,188,201500034,2,ari,6:40 PM,Rob Drake,Chase Field,"74 degrees, clear","7 mph, Out to RF",0
26814,0,sln,4/8/2015,143,201500035,2,chn,1:22 PM,Mark Wegner,Wrigley Field,"46 degrees, cloudy","6 mph, In from CF",0
19479,0,tex,4/8/2015,175,201500036,10,oak,7:07 PM,Jim Wolf,O.co Coliseum,"58 degrees, partly cloudy","10 mph, Out to RF",0
31020,3,tor,4/8/2015,176,201500037,4,nya,7:10 PM,Jim Reynolds,Yankee Stadium,"44 degrees, cloudy","17 mph, L to R",0
23418,6,bos,4/9/2015,188,201500038,2,phi,7:06 PM,Tony Randazzo,Citizens Bank Park,"42 degrees, overcast","10 mph, R to L",0
20236,1,cha,4/9/2015,157,201500039,4,kca,1:11 PM,Bob Davidson,Kauffman Stadium,"72 degrees, partly cloudy","18 mph, L to R",0
22593,5,cle,4/9/2015,188,201500040,1,hou,1:11 PM,Scott Barry,Minute Maid Park,"73 degrees, roof closed","0 mph, None",0
26782,1,min,4/9/2015,163,201500041,7,det,4:44 PM,Lance Barksdale,Comerica Park,"59 degrees, drizzle","13 mph, R to L",216
25327,6,nyn,4/9/2015,174,201500042,3,was,1:07 PM,Tim Timmons,Nationals Park,"47 degrees, cloudy","8 mph, Out to RF",0
15616,2,pit,4/9/2015,152,201500043,3,cin,12:36 PM,Bill Welke,Great American Ball Park,"73 degrees, cloudy","13 mph, R to L",74
45149,1,sfn,4/9/2015,245,201500044,0,sdn,3:41 PM,Tripp Gibson III,Petco Park,"67 degrees, sunny","12 mph, L to R",0
16045,10,tex,4/9/2015,152,201500045,1,oak,12:37 PM,Adam Hamari,O.co Coliseum,"58 degrees, partly cloudy","7 mph, Out to RF",0
32152,6,tor,4/9/2015,172,201500046,3,nya,7:08 PM,Jerry Meals,Yankee Stadium,"42 degrees, overcast","7 mph, L to R",0
41292,6,bos,4/10/2015,409,201500047,5,nya,7:08 PM,Marty Foster,Yankee Stadium,"55 degrees, cloudy","11 mph, R to L",16
49303,1,chn,4/10/2015,181,201500048,5,col,2:10 PM,Quinn Wolcott,Coors Field,"61 degrees, partly cloudy","7 mph, R to L",0
35789,8,det,4/10/2015,215,201500049,4,cle,4:10 PM,Lance Barrett,Progressive Field,"53 degrees, sunny","17 mph, L to R",0
48885,5,hou,4/10/2015,165,201500050,1,tex,3:08 PM,Cory Blaser,Globe Life Park in Arlington,"65 degrees, partly cloudy","6 mph, In from LF",0
44489,4,kca,4/10/2015,196,201500051,2,ana,7:12 PM,Bill Miller,Angel Stadium of Anaheim,"67 degrees, partly cloudy","7 mph, Out to CF",0
27404,3,lan,4/10/2015,181,201500052,4,ari,6:40 PM,Chris Conroy,Chase Field,"82 degrees, clear","6 mph, In from CF",0
38533,6,min,4/10/2015,181,201500053,0,cha,3:10 PM,James Hoye,U.S. Cellular Field,"66 degrees, sunny","21 mph, R to L",0
46279,3,nyn,4/10/2015,181,201500054,5,atl,8:51 PM,Paul Schrieber,Turner Field,"65 degrees, cloudy","6 mph, L to R",69
27373,6,pit,4/10/2015,193,201500055,2,mil,7:11 PM,Mike Estabrook,Miller Park,"66 degrees, roof closed","0 mph, None",0
30114,0,sea,4/10/2015,164,201500056,12,oak,7:08 PM,Brian Gorman,O.co Coliseum,"60 degrees, clear","3 mph, Out to RF",0
40015,0,sfn,4/10/2015,151,201500057,1,sdn,7:11 PM,Vic Carapazza,Petco Park,"64 degrees, cloudy","7 mph, Varies",0
30808,4,sln,4/10/2015,146,201500058,5,cin,7:12 PM,D.J. Reyburn,Great American Ball Park,"64 degrees, clear","11 mph, R to L",0
17375,9,tba,4/10/2015,216,201500059,10,mia,7:10 PM,Will Little,Marlins Park,"75 degrees, roof closed","0 mph, None",0
45936,12,tor,4/10/2015,165,201500060,5,bal,3:11 PM,Todd Tichenor,Oriole Park at Camden Yards,"51 degrees, rain","2 mph, R to L",0
19047,1,was,4/10/2015,150,201500061,4,phi,7:07 PM,David Rackley,Citizens Bank Park,"57 degrees, cloudy","11 mph, Out to RF",0
46678,8,bos,4/11/2015,193,201500062,4,nya,1:08 PM,Mike Muchlinski,Yankee Stadium,"55 degrees, partly cloudy","21 mph, L to R",0
43812,9,chn,4/11/2015,199,201500063,5,col,6:12 PM,Gary Cederstrom,Coors Field,"67 degrees, partly cloudy","2 mph, L to R",0
23161,9,det,4/11/2015,256,201500064,6,cle,4:10 PM,Dale Scott,Progressive Field,"53 degrees, sunny","4 mph, L to R",0
36833,2,hou,4/11/2015,198,201500065,6,tex,7:08 PM,Jeff Nelson,Globe Life Park in Arlington,"71 degrees, partly cloudy","6 mph, L to R",0
44154,6,kca,4/11/2015,161,201500066,4,ana,6:06 PM,Doug Eddings,Angel Stadium of Anaheim,"68 degrees, clear","6 mph, Out to RF",0
37636,0,lan,4/11/2015,156,201500067,6,ari,5:10 PM,Ted Barrett,Chase Field,"83 degrees, sunny","10 mph, Varies",0
22317,4,min,4/11/2015,174,201500068,5,cha,1:09 PM,John Hirschbeck,U.S. Cellular Field,"72 degrees, sunny","7 mph, R to L",0
36056,3,nyn,4/11/2015,145,201500069,5,atl,7:14 PM,Fieldin Culbreth,Turner Field,"76 degrees, partly cloudy","8 mph, L to R",0
41108,0,pit,4/11/2015,146,201500070,6,mil,6:10 PM,Dana DeMuth,Miller Park,"69 degrees, roof closed","0 mph, None",0
24355,5,sea,4/11/2015,219,201500071,4,oak,1:07 PM,Mark Carlson,O.co Coliseum,"63 degrees, partly cloudy","3 mph, Out to RF",0
42823,2,sfn,4/11/2015,194,201500072,10,sdn,5:41 PM,Larry Vanover,Petco Park,"67 degrees, sunny","10 mph, R to L",0
41525,4,sln,4/11/2015,156,201500073,1,cin,1:11 PM,Joe West,Great American Ball Park,"56 degrees, sunny","4 mph, L to R",0
17830,2,tba,4/11/2015,152,201500074,0,mia,4:10 PM,Gerry Davis,Marlins Park,"75 degrees, roof closed","0 mph, None",0
38897,1,tor,4/11/2015,154,201500075,7,bal,7:07 PM,Tim Welke,Oriole Park at Camden Yards,"61 degrees, clear","14 mph, Out to LF",0
23740,2,was,4/11/2015,205,201500076,3,phi,7:06 PM,Jerry Layne,Citizens Bank Park,"61 degrees, clear","10 mph, In from LF",0
43019,4,bos,4/12/2015,204,201500077,14,nya,8:08 PM,Mike Winters,Yankee Stadium,"54 degrees, clear","12 mph, Out to LF",0
41363,6,chn,4/12/2015,185,201500078,5,col,2:11 PM,Eric Cooper,Coors Field,"65 degrees, partly cloudy","13 mph, In from RF",0
19555,8,det,4/12/2015,193,201500079,5,cle,1:10 PM,Dan Iassogna,Progressive Field,"60 degrees, sunny","8 mph, In from CF",0
35276,6,hou,4/12/2015,264,201500080,4,tex,2:06 PM,Laz Diaz,Globe Life Park in Arlington,"73 degrees, cloudy","10 mph, R to L",0
37060,9,kca,4/12/2015,176,201500081,2,ana,12:38 PM,Jim Wolf,Angel Stadium of Anaheim,"73 degrees, sunny","4 mph, L to R",0
29678,7,lan,4/12/2015,207,201500082,4,ari,1:10 PM,Angel Hernandez,Chase Field,"77 degrees, partly cloudy","8 mph, Out to CF",0
23057,2,min,4/12/2015,176,201500083,6,cha,1:09 PM,Sam Holbrook,U.S. Cellular Field,"71 degrees, partly cloudy","14 mph, R to L",0
28192,4,nyn,4/12/2015,157,201500084,3,atl,1:36 PM,Marvin Hudson,Turner Field,"63 degrees, cloudy","8 mph, R to L",0
39017,10,pit,4/12/2015,180,201500085,2,mil,1:11 PM,Toby Basner,Miller Park,"70 degrees, roof closed","0 mph, None",0
32282,8,sea,4/12/2015,191,201500086,7,oak,1:07 PM,Mike DiMuro,O.co Coliseum,"67 degrees, partly cloudy","7 mph, Out to RF",0
40184,4,sfn,4/12/2015,181,201500087,6,sdn,1:11 PM,Ron Kulpa,Petco Park,"67 degrees, sunny","9 mph, L to R",0
41446,7,sln,4/12/2015,243,201500088,5,cin,1:11 PM,Kerwin Danley,Great American Ball Park,"67 degrees, sunny","4 mph, R to L",0
20199,8,tba,4/12/2015,196,201500089,5,mia,1:10 PM,Phil Cuzzi,Marlins Park,"74 degrees, roof closed","0 mph, None",0
32522,10,tor,4/12/2015,197,201500090,7,bal,1:39 PM,Mike Everitt,Oriole Park at Camden Yards,"60 degrees, sunny","3 mph, L to R",0
30094,4,was,4/12/2015,199,201500091,3,phi,1:38 PM,Hunter Wendelstedt,Citizens Bank Park,"62 degrees, sunny","3 mph, Out to CF",0
18401,6,ana,4/13/2015,197,201500092,3,tex,7:09 PM,CB Bucknor,Globe Life Park in Arlington,"64 degrees, cloudy","15 mph, L to R",0
19538,8,ari,4/13/2015,182,201500093,4,sdn,7:11 PM,Adam Hamari,Petco Park,"64 degrees, partly cloudy","10 mph, R to L",0
26390,6,cin,4/13/2015,182,201500094,7,chn,7:05 PM,Jerry Meals,Wrigley Field,"62 degrees, partly cloudy","15 mph, L to R",0
42019,2,col,4/13/2015,178,201500095,0,sfn,1:41 PM,Tripp Gibson III,AT&T Park,"63 degrees, partly cloudy","10 mph, Out to CF",0
39933,4,det,4/13/2015,151,201500096,5,pit,1:38 PM,Bob Davidson,PNC Park,"76 degrees, partly cloudy","16 mph, Out to LF",0
40123,12,kca,4/13/2015,170,201500097,3,min,3:16 PM,Paul Nauert,Target Field,"61 degrees, partly cloudy","21 mph, Out to CF",0
13417,2,mia,4/13/2015,182,201500098,3,atl,8:02 PM,Jeff Kellogg,Turner Field,"67 degrees, overcast","3 mph, R to L",91
47875,5,mil,4/13/2015,181,201500099,4,sln,3:20 PM,Bill Welke,Busch Stadium,"67 degrees, cloudy","12 mph, In from LF",0
21633,6,nya,4/13/2015,189,201500100,5,bal,7:11 PM,Lance Barksdale,Oriole Park at Camden Yards,"68 degrees, clear","9 mph, In from LF",0
19279,8,oak,4/13/2015,171,201500101,1,hou,7:11 PM,Tim Timmons,Minute Maid Park,"82 degrees, partly cloudy","8 mph, R to L",0
43947,0,phi,4/13/2015,173,201500102,2,nyn,1:14 PM,Tom Hallion,Citi Field,"63 degrees, sunny","9 mph, Out to LF",0
42202,5,sea,4/13/2015,184,201500103,6,lan,7:09 PM,Jim Joyce,Dodger Stadium,"67 degrees, clear","3 mph, Out to RF",0
48414,2,tba,4/13/2015,150,201500104,1,tor,7:29 PM,Chris Guccione,Rogers Centre,"68 degrees, roof closed","0 mph, None",0
37203,4,was,4/13/2015,181,201500105,9,bos,3:13 PM,Manny Gonzalez,Fenway Park,"69 degrees, partly cloudy","16 mph, Out to LF",0
21805,2,ana,4/14/2015,177,201500106,8,tex,7:07 PM,Lance Barrett,Globe Life Park in Arlington,"60 degrees, cloudy","3 mph, L to R",0
20102,1,ari,4/14/2015,151,201500107,5,sdn,7:10 PM,Bill Miller,Petco Park,"66 degrees, clear","8 mph, L to R",0
10642,4,cha,4/14/2015,181,201500108,1,cle,7:11 PM,Brian Knight,Progressive Field,"48 degrees, cloudy","6 mph, In from CF",0
27525,3,cin,4/14/2015,165,201500109,2,chn,7:04 PM,Paul Emmel,Wrigley Field,"51 degrees, partly cloudy","2 mph, In from CF",0
41051,4,col,4/14/2015,189,201500110,1,sfn,7:16 PM,Brian Gorman,AT&T Park,"58 degrees, clear","22 mph, Out to CF",0
31755,2,det,4/14/2015,170,201500111,0,pit,7:08 PM,David Rackley,PNC Park,"63 degrees, cloudy","7 mph, In from RF",0
15765,8,mia,4/14/2015,180,201500112,2,atl,7:10 PM,Brian O'Nora,Turner Field,"79 degrees, partly cloudy","7 mph, L to R",0
19283,3,nya,4/14/2015,149,201500113,4,bal,7:07 PM,Gary Cederstrom,Oriole Park at Camden Yards,"56 degrees, overcast","4 mph, In from CF",0
18935,4,oak,4/14/2015,178,201500114,0,hou,7:10 PM,Todd Tichenor,Minute Maid Park,"73 degrees, roof closed","0 mph, None",0
39489,5,phi,4/14/2015,192,201500115,6,nyn,7:11 PM,Alfonso Marquez,Citi Field,"65 degrees, cloudy","8 mph, In from RF",0
43115,5,sea,4/14/2015,220,201500116,6,lan,7:10 PM,Greg Gibson,Dodger Stadium,"67 degrees, clear","0 mph, None",0
17264,3,tba,4/14/2015,186,201500117,2,tor,7:07 PM,Cory Blaser,Rogers Centre,"68 degrees, roof closed","0 mph, None",0
35258,7,was,4/14/2015,203,201500118,8,bos,6:10 PM,Jim Reynolds,Fenway Park,"63 degrees, cloudy","11 mph, L to R",0
25757,10,ana,4/15/2015,193,201500119,2,tex,1:07 PM,Dan Iassogna,Globe Life Park in Arlington,"70 degrees, sunny","3 mph, In from RF",0
23104,2,ari,4/15/2015,161,201500120,3,sdn,6:12 PM,Adrian Johnson,Petco Park,"70 degrees, clear","8 mph, Out to RF",0
11042,2,cha,4/15/2015,178,201500121,4,cle,12:11 PM,Vic Carapazza,Progressive Field,"52 degrees, partly cloudy","11 mph, In from CF",0
29205,0,cin,4/15/2015,159,201500122,5,chn,7:05 PM,Andy Fletcher,Wrigley Field,"49 degrees, partly cloudy","18 mph, In from RF",0
41188,4,col,4/15/2015,171,201500123,2,sfn,7:14 PM,Mark Carlson,AT&T Park,"64 degrees, clear","16 mph, Out to CF",0
19509,1,det,4/15/2015,172,201500124,0,pit,7:06 PM,Jerry Layne,PNC Park,"64 degrees, cloudy","9 mph, In from LF",0
21362,1,kca,4/15/2015,145,201500125,3,min,7:10 PM,Mike Estabrook,Target Field,"67 degrees, partly cloudy","16 mph, R to L",0
18342,6,mia,4/15/2015,145,201500126,2,atl,12:10 PM,Alan Porter,Turner Field,"68 degrees, cloudy","2 mph, R to L",0
40826,2,mil,4/15/2015,170,201500127,4,sln,7:15 PM,James Hoye,Busch Stadium,"64 degrees, cloudy","11 mph, In from RF",0
23409,5,nya,4/15/2015,194,201500128,7,bal,7:08 PM,Sean Barber,Oriole Park at Camden Yards,"66 degrees, overcast","1 mph, Out to CF",0
19777,1,oak,4/15/2015,162,201500129,6,hou,7:12 PM,Tim Welke,Minute Maid Park,"78 degrees, clear","5 mph, In from LF",0
21052,1,phi,4/15/2015,156,201500130,6,nyn,7:10 PM,Dan Bellino,Citi Field,"66 degrees, partly cloudy","14 mph, In from LF",0
51287,2,sea,4/15/2015,173,201500131,5,lan,7:15 PM,Marvin Hudson,Dodger Stadium,"72 degrees, clear","5 mph, Out to RF",0
15086,7,tba,4/15/2015,182,201500132,12,tor,7:06 PM,Jeff Nelson,Rogers Centre,"68 degrees, roof closed","0 mph, None",0
33493,10,was,4/15/2015,188,201500133,5,bos,1:37 PM,Paul Schrieber,Fenway Park,"66 degrees, partly cloudy","10 mph, In from LF",0
41545,7,ari,4/16/2015,260,201500134,6,sfn,7:15 PM,CB Bucknor,AT&T Park,"62 degrees, clear","12 mph, Out to RF",0
17449,5,kca,4/16/2015,181,201500135,8,min,12:11 PM,Dana DeMuth,Target Field,"63 degrees, partly cloudy","8 mph, R to L",0
20556,5,mia,4/16/2015,181,201500136,7,nyn,7:12 PM,Eric Cooper,Citi Field,"59 degrees, clear","11 mph, Out to LF",0
40079,0,mil,4/16/2015,174,201500137,4,sln,12:45 PM,John Hirschbeck,Busch Stadium,"72 degrees, partly cloudy","1 mph, In from CF",0
24768,2,phi,4/16/2015,136,201500138,5,was,7:05 PM,Larry Vanover,Nationals Park,"70 degrees, cloudy","5 mph, Out to LF",0
14433,4,tba,4/16/2015,180,201500139,2,tor,7:06 PM,Laz Diaz,Rogers Centre,"68 degrees, roof closed","0 mph, None",0
22660,6,ana,4/17/2015,177,201500140,3,hou,7:11 PM,Toby Basner,Minute Maid Park,"73 degrees, roof closed","0 mph, None",0
41550,9,ari,4/17/2015,180,201500141,0,sfn,7:15 PM,Chris Segal,AT&T Park,"54 degrees, clear","11 mph, Out to CF",0
21397,8,atl,4/17/2015,189,201500142,7,tor,7:07 PM,Joe West,Rogers Centre,"68 degrees, roof closed","0 mph, None",0
34341,2,bal,4/17/2015,193,201500143,3,bos,7:11 PM,Jordan Baker,Fenway Park,"64 degrees, cloudy","14 mph, Out to RF",0
33084,1,cha,4/17/2015,155,201500144,2,det,1:08 PM,Mark Ripperger,Comerica Park,"64 degrees, sunny","2 mph, L to R",0
46462,1,cin,4/17/2015,141,201500145,6,sln,7:16 PM,Clint Fagan,Busch Stadium,"77 degrees, clear","3 mph, R to L",0
21307,2,cle,4/17/2015,218,201500146,3,min,7:12 PM,Mike DiMuro,Target Field,"74 degrees, partly cloudy","7 mph, Out to CF",0
48950,3,col,4/17/2015,198,201500147,7,lan,7:11 PM,Mike Everitt,Dodger Stadium,"73 degrees, clear","7 mph, Out to RF",0
38753,1,mia,4/17/2015,158,201500148,4,nyn,7:10 PM,Lance Barksdale,Citi Field,"68 degrees, partly cloudy","9 mph, Out to RF",0
25664,3,mil,4/17/2015,177,201500149,6,pit,7:07 PM,Chris Guccione,PNC Park,"77 degrees, partly cloudy","7 mph, Out to LF",0
15752,5,nya,4/17/2015,192,201500150,4,tba,7:11 PM,Hunter Wendelstedt,Tropicana Field,"72 degrees, dome","0 mph, None",0
39228,4,oak,4/17/2015,153,201500151,6,kca,7:10 PM,Chad Fairchild,Kauffman Stadium,"74 degrees, cloudy","5 mph, R to L",0
31608,2,phi,4/17/2015,158,201500152,7,was,7:05 PM,Ron Kulpa,Nationals Park,"71 degrees, cloudy","4 mph, Out to RF",0
32138,5,sdn,4/17/2015,177,201500153,4,chn,1:20 PM,Sam Holbrook,Wrigley Field,"55 degrees, partly cloudy","9 mph, R to L",0
36606,3,tex,4/17/2015,180,201500154,1,sea,7:10 PM,Jim Wolf,Safeco Field,"59 degrees, clear","6 mph, In from LF",0
28209,0,ana,4/18/2015,158,201500155,4,hou,6:11 PM,Paul Nauert,Minute Maid Park,"73 degrees, roof closed","0 mph, None",0
41756,1,ari,4/18/2015,158,201500156,4,sfn,6:07 PM,Lance Barrett,AT&T Park,"62 degrees, clear","12 mph, Out to CF",0
34743,5,atl,4/18/2015,161,201500157,6,tor,1:09 PM,Bruce Dreckman,Rogers Centre,"68 degrees, roof closed","0 mph, None",0
37655,4,bal,4/18/2015,204,201500158,1,bos,4:06 PM,Jerry Meals,Fenway Park,"47 degrees, sunny","10 mph, In from RF",0
39877,12,cha,4/18/2015,181,201500159,3,det,1:08 PM,Jeff Kellogg,Comerica Park,"70 degrees, sunny","15 mph, L to R",0
45906,2,cin,4/18/2015,162,201500160,5,sln,1:15 PM,Manny Gonzalez,Busch Stadium,"75 degrees, cloudy","7 mph, R to L",0
23949,4,cle,4/18/2015,153,201500161,2,min,1:11 PM,Tripp Gibson III,Target Field,"67 degrees, partly cloudy","11 mph, In from RF",0
45912,3,col,4/18/2015,175,201500162,6,lan,6:11 PM,Tim Timmons,Dodger Stadium,"72 degrees, clear","6 mph, Out to CF",0
41844,4,mia,4/18/2015,171,201500163,5,nyn,7:10 PM,Gary Cederstrom,Citi Field,"73 degrees, partly cloudy","10 mph, Out to LF",0
33961,2,mil,4/18/2015,150,201500164,6,pit,7:07 PM,Cory Blaser,PNC Park,"73 degrees, partly cloudy","7 mph, In from LF",0
20824,9,nya,4/18/2015,187,201500165,0,tba,7:10 PM,Bob Davidson,Tropicana Field,"72 degrees, dome","0 mph, None",0
33151,5,oak,4/18/2015,154,201500166,0,kca,6:11 PM,Jim Joyce,Kauffman Stadium,"65 degrees, partly cloudy","6 mph, R to L",0
35330,5,phi,4/18/2015,176,201500167,3,was,1:06 PM,Brian Knight,Nationals Park,"77 degrees, sunny","3 mph, Out to RF",12
33958,6,sdn,4/18/2015,229,201500168,7,chn,1:20 PM,Bill Welke,Wrigley Field,"43 degrees, partly cloudy","19 mph, In from LF",0
43017,1,tex,4/18/2015,180,201500169,3,sea,6:11 PM,Adam Hamari,Safeco Field,"62 degrees, clear","5 mph, In from LF",0
24254,3,ana,4/19/2015,200,201500170,4,hou,1:12 PM,Mike Estabrook,Minute Maid Park,"73 degrees, roof closed","0 mph, None",0
41528,5,ari,4/19/2015,165,201500171,1,sfn,1:05 PM,Dan Iassogna,AT&T Park,"61 degrees, cloudy","10 mph, Out to RF",0
44794,5,atl,4/19/2015,161,201500172,2,tor,1:08 PM,Tom Hallion,Rogers Centre,"68 degrees, roof closed","0 mph, None",0
37761,8,bal,4/19/2015,194,201500173,3,bos,1:38 PM,Paul Emmel,Fenway Park,"49 degrees, sunny","13 mph, In from RF",0
30357,1,cha,4/19/2015,165,201500174,9,det,1:09 PM,Brian O'Nora,Comerica Park,"54 degrees, partly cloudy","17 mph, L to R",0
40742,1,cin,4/19/2015,122,201500175,2,sln,7:08 PM,Jim Reynolds,Busch Stadium,"62 degrees, overcast","6 mph, L to R",0
17923,2,cle,4/19/2015,165,201500176,7,min,1:12 PM,Brian Gorman,Target Field,"58 degrees, overcast","6 mph, R to L",0
44666,0,col,4/19/2015,175,201500177,7,lan,1:09 PM,Todd Tichenor,Dodger Stadium,"76 degrees, sunny","5 mph, L to R",0
41234,6,mia,4/19/2015,169,201500178,7,nyn,1:12 PM,Sean Barber,Citi Field,"58 degrees, partly cloudy","10 mph, In from RF",0
28129,2,mil,4/19/2015,159,201500179,5,pit,1:37 PM,Jeff Nelson,PNC Park,"70 degrees, partly cloudy","14 mph, L to R",0
21791,5,nya,4/19/2015,213,201500180,3,tba,1:10 PM,David Rackley,Tropicana Field,"72 degrees, dome","0 mph, None",0
36755,2,oak,4/19/2015,188,201500181,4,kca,1:13 PM,Greg Gibson,Kauffman Stadium,"65 degrees, cloudy","11 mph, L to R",0
36631,1,phi,4/19/2015,160,201500182,4,was,1:37 PM,Vic Carapazza,Nationals Park,"68 degrees, cloudy","8 mph, In from RF",0
29113,5,sdn,4/19/2015,171,201500183,2,chn,1:21 PM,James Hoye,Wrigley Field,"53 degrees, partly cloudy","15 mph, R to L",0
31601,10,tex,4/19/2015,225,201500184,11,sea,1:11 PM,Bill Miller,Safeco Field,"64 degrees, sunny","5 mph, L to R",0
36829,1,bal,4/20/2015,141,201500185,7,bos,11:04 AM,Andy Fletcher,Fenway Park,"44 degrees, cloudy","17 mph, In from RF",102
11777,5,chn,4/20/2015,193,201500186,2,pit,7:33 PM,D.J. Reyburn,PNC Park,"60 degrees, cloudy","18 mph, Out to CF",28
26660,6,cin,4/20/2015,143,201500187,1,mil,6:21 PM,Scott Barry,Miller Park,"63 degrees, roof closed","0 mph, None",0
13055,3,cle,4/20/2015,173,201500188,4,cha,7:10 PM,Quinn Wolcott,U.S. Cellular Field,"46 degrees, overcast","24 mph, Out to LF",0
15129,7,hou,4/20/2015,206,201500189,5,sea,7:10 PM,Dale Scott,Safeco Field,"70 degrees, clear","2 mph, Out to RF",0
20393,1,min,4/20/2015,163,201500190,7,kca,7:09 PM,Laz Diaz,Kauffman Stadium,"58 degrees, partly cloudy","13 mph, L to R",0
27540,1,nya,4/20/2015,140,201500191,2,det,7:09 PM,Tony Randazzo,Comerica Park,"52 degrees, overcast","22 mph, R to L",0
